,Air.Temp.,Air.Temp1,Air.Temp2
09/06/2020 12:39:00,36.0037,6.195544,6.020412
09/06/2020 12:40:00,38.56945,38.58966,38.12792
09/06/2020 12:41:00,38.92698,38.6072,38.20101
09/06/2020 12:42:00,39.34206,38.88094,38.50736
09/06/2020 12:43:00,39.35383,39.25706,38.78169
09/06/2020 12:44:00,39.48919,39.28083,38.88236
09/06/2020 12:45:00,39.34919,37.72446,37.50725
09/06/2020 12:46:00,38.68563,39.15104,38.88555
09/06/2020 12:47:00,38.74477,38.95757,38.73507
09/06/2020 12:48:00,38.87257,38.83665,38.60317
09/06/2020 12:49:00,38.87789,38.81656,38.54221
09/06/2020 12:50:00,39.16235,38.90624,38.64925
09/06/2020 12:51:00,38.77678,38.93941,38.56011
09/06/2020 12:52:00,38.60423,38.8246,38.38086
09/06/2020 12:53:00,39.0691,38.87409,38.42579
09/06/2020 12:54:00,39.18777,38.95913,38.52775
09/06/2020 12:55:00,39.43269,39.06779,38.65763
09/06/2020 12:56:00,39.75549,39.22286,38.86362
09/06/2020 12:57:00,39.66219,39.34346,39.02007
09/06/2020 12:58:00,39.88034,39.35217,39.07105
09/06/2020 12:59:00,39.33061,39.21143,39.02143
09/06/2020 13:00:00,38.88784,38.91265,38.64342
09/06/2020 13:01:00,39.37051,38.95133,38.69087
09/06/2020 13:02:00,39.59981,38.96069,38.85701
09/06/2020 13:03:00,39.99471,39.7846,39.0642
09/06/2020 13:04:00,40.0223,40.05509,39.25651
09/06/2020 13:05:00,39.99482,40.01945,39.3708
09/06/2020 13:06:00,39.78023,40.00254,39.33769
09/06/2020 13:07:00,39.72164,39.93383,39.27588
09/06/2020 13:08:00,39.79767,39.99413,39.32607
09/06/2020 13:09:00,39.61332,39.95973,39.30464
09/06/2020 13:10:00,39.57014,39.76958,39.14329
09/06/2020 13:11:00,39.40243,39.73835,39.12177
09/06/2020 13:12:00,39.13905,39.5446,38.97779
09/06/2020 13:13:00,39.34032,39.42171,38.89584
09/06/2020 13:14:00,39.2618,39.44066,38.92752
09/06/2020 13:15:00,39.33139,39.4234,38.91191
09/06/2020 13:16:00,39.39692,39.47935,38.85907
09/06/2020 13:17:00,39.7063,39.56129,38.95998
