Time,E+E Hum,E+E Temp,Vaisala Hum,Vaisala Temp,SGS Hum,SGS Temp,SGS RAW,SGS 2 RevC Hum,SGS 2 RevC Temp,SGS 2 RevC RAW
11:39:26,0,0,32.2,28.2,284,767.9,488209,15,28,547379
11:39:27,0,0,32.2,28.2,283.9,767.9,488219,15,27.9,547381
11:39:28,0,0,32.2,28.2,283.9,767.9,488225,15,28,547378
11:39:29,0,0,32.2,28.2,283.8,767.9,488226,15,27.9,547375
11:39:30,0,0,32.2,28.2,283.8,767.9,488233,15,27.9,547371
11:39:31,0,0,32.1,28.2,283.7,767.9,488242,15.1,27.9,547370
11:39:32,0,0,32.1,28.2,283.7,767.9,488253,15.2,28,547371
11:39:33,0,0,32.1,28.3,283.7,767.9,488265,15.2,28,547371
11:39:34,0,0,32.1,28.3,283.6,767.9,488278,15.2,28,547368
11:39:35,0,0,32,28.3,283.6,767.9,488289,15.2,28,547372
11:39:36,0,0,32,28.3,283.5,767.9,488304,15.2,28,547370
11:39:37,0,0,32,28.3,283.5,767.9,488316,15.1,28,547363
11:39:38,0,0,32,28.3,283.4,767.9,488329,15.1,28,547364
11:39:39,0,0,32,28.3,283.4,767.9,488339,15,28,547368
11:39:40,0,0,31.9,28.3,283.3,767.9,488350,15,28,547363
11:39:41,0,0,31.9,28.3,283.2,767.9,488361,15,27.9,547363
11:39:42,0,0,31.9,28.3,283.2,767.9,488374,15.1,28,547362
11:39:43,0,0,31.9,28.3,283.1,767.9,488384,15.1,28.1,547366
11:39:44,0,0,31.8,28.3,283,767.9,488396,15.1,28.1,547365
11:39:45,0,0,31.8,28.3,283,767.9,488401,15.1,28.1,547362
11:39:46,0,0,31.8,28.4,282.9,767.9,488407,15,28.2,547354
11:39:47,0,0,31.7,28.4,282.9,767.9,488414,15,28.2,547357
11:39:48,0,0,31.7,28.4,282.8,767.9,488419,15,28.2,547356
11:39:49,0,0,31.7,28.4,282.8,767.9,488425,14.9,28.2,547354
11:39:50,0,0,31.7,28.4,282.8,767.9,488432,14.9,28.2,547350
11:39:51,0,0,31.7,28.4,282.7,767.9,488440,14.9,28.2,547347
11:39:52,0,0,31.7,28.4,282.7,767.9,488446,14.9,28.2,547343
11:39:53,0,0,31.7,28.4,282.7,767.9,488451,14.9,28.2,547344
11:39:54,0,0,31.7,28.4,282.6,767.9,488456,14.9,28.2,547343
11:39:55,0,0,31.6,28.4,282.6,767.9,488463,14.9,28.2,547343
11:39:56,0,0,31.6,28.4,282.6,767.9,488469,15,28.1,547345
11:39:57,0,0,31.6,28.4,282.5,767.9,488474,15,28.2,547336
