Time,E+E Hum,E+E Temp,Vaisala Hum,Vaisala Temp,SGS Hum,SGS Temp,SGS RAW
11:46:09,91.09,34.62,90.5,34.5,,,57201
11:46:10,91.08,34.62,90.5,34.5,96.9,35.1,57204
11:46:11,91.09,34.63,90.5,34.5,96.9,35.2,57201
11:46:12,91.1,34.63,90.5,34.5,96.9,35.2,57196
11:46:13,91.1,34.63,90.5,34.5,96.9,35.3,57206
11:46:14,91.09,34.63,90.5,34.5,97,35.3,57202
11:46:15,91.09,34.63,90.5,34.5,97,35.3,57197
11:46:16,91.17,34.63,90.4,34.5,97,35.3,57193
11:46:17,91.17,34.63,90.4,34.5,97,35.3,57196
11:46:18,91.2,34.63,90.4,34.5,97,35.2,57201
11:46:19,91.24,34.64,90.4,34.5,97.1,35.2,57197
11:46:20,91.29,34.64,90.4,34.5,97,35.2,57197
11:46:21,91.39,34.64,90.4,34.5,97,35.1,57193
11:46:22,91.53,34.62,90.5,34.5,97,35.1,57197
11:46:23,91.53,34.62,90.5,34.5,97,35,57205
11:46:24,91.62,34.63,90.6,34.5,97,35,57205
11:46:25,91.7,34.64,90.6,34.5,97,35,57208
11:46:26,91.76,34.64,90.7,34.5,97,34.8,57205
11:46:27,91.86,34.65,90.7,34.5,97.1,34.8,57205
11:46:28,91.95,34.65,90.8,34.5,97.1,34.7,57215
11:46:29,91.97,34.66,90.8,34.5,97.2,34.6,57218
11:46:30,92.03,34.66,90.9,34.5,97.2,34.5,57220
11:46:31,92.1,34.66,91,34.5,97.4,34.5,57218
11:46:32,92.19,34.67,91,34.5,97.5,34.5,57217
11:46:33,92.25,34.67,91.2,34.5,97.6,34.5,57216
11:46:34,92.29,34.67,91.3,34.5,97.7,34.5,57209
11:46:35,92.29,34.67,91.3,34.5,97.7,34.5,57211
11:46:36,92.31,34.68,91.4,34.6,97.8,34.5,57217
11:46:37,92.36,34.68,91.5,34.6,97.9,34.5,57218
11:46:38,92.4,34.68,91.5,34.6,98,34.6,57227
11:46:39,92.41,34.68,91.5,34.6,98.1,34.5,57222
11:46:40,92.45,34.68,91.5,34.6,98.2,34.6,57217
11:46:41,92.48,34.69,91.6,34.6,98.3,34.7,57216
11:46:42,92.51,34.69,91.6,34.6,98.3,34.6,57210
11:46:43,92.5,34.69,91.6,34.6,98.4,34.7,57222
11:46:44,92.5,34.69,91.7,34.6,98.4,34.7,57217
11:46:45,92.51,34.69,91.7,34.6,98.4,34.7,57218
11:46:46,92.51,34.7,91.7,34.6,98.4,34.6,57217
11:46:47,92.51,34.7,91.7,34.6,98.4,34.6,57215
11:46:48,92.55,34.7,91.8,34.6,98.4,34.6,57210
11:46:49,92.54,34.7,91.8,34.6,98.3,34.6,57216
11:46:50,92.54,34.7,91.8,34.6,98.4,34.6,57212
11:46:51,92.57,34.7,91.8,34.6,98.4,34.6,57217
11:46:52,92.57,34.71,91.8,34.6,98.4,34.6,57221
11:46:53,92.54,34.71,91.8,34.6,98.4,34.6,57220
11:46:54,92.52,34.71,91.8,34.6,98.4,34.7,57223
11:46:55,92.5,34.71,91.8,34.6,98.4,34.6,57217
11:46:56,92.47,34.71,91.8,34.6,98.4,34.6,57220
11:46:57,92.45,34.71,91.8,34.6,98.4,34.6,57220
11:46:58,92.45,34.71,91.8,34.6,98.4,34.5,57224
11:46:59,92.43,34.71,91.8,34.6,98.5,34.6,57222
11:47:00,92.38,34.71,91.8,34.6,98.5,34.6,57224
11:47:01,92.36,34.72,91.8,34.6,98.5,34.7,57228
11:47:02,92.35,34.72,91.7,34.6,98.6,34.7,57228
11:47:03,92.32,34.72,91.7,34.6,98.6,34.7,57228
11:47:04,92.34,34.72,91.7,34.6,98.7,34.7,57232
11:47:05,92.31,34.72,91.7,34.6,98.8,34.7,57226
11:47:06,92.27,34.72,91.6,34.6,98.9,34.7,57229
11:47:07,92.23,34.72,91.6,34.6,99,34.7,57235
11:47:08,92.23,34.72,91.6,34.6,99,34.7,57233
11:47:09,92.23,34.72,91.6,34.6,99.1,34.7,57230
11:47:10,92.24,34.72,91.6,34.6,99.1,34.7,57226
11:47:11,92.25,34.72,91.5,34.6,99.2,34.7,57226
11:47:12,92.28,34.72,91.5,34.6,99.2,34.7,57227
11:47:13,92.3,34.73,91.5,34.6,99.3,34.8,57230
11:47:14,92.3,34.73,91.5,34.6,99.3,34.8,57230
11:47:15,92.36,34.73,91.5,34.6,99.3,34.8,57232
11:47:16,92.38,34.73,91.5,34.6,99.4,34.8,57228
11:47:17,92.42,34.73,91.5,34.6,99.4,34.8,57226
11:47:18,92.45,34.73,91.5,34.6,99.4,34.8,57228
11:47:19,92.48,34.74,91.5,34.6,99.4,34.8,57231
11:47:20,92.53,34.74,91.5,34.6,99.4,34.8,57230
11:47:21,92.58,34.74,91.5,34.6,99.4,34.8,57237
11:47:22,92.63,34.74,91.6,34.6,99.4,34.8,57243
11:47:23,92.69,34.74,91.6,34.6,99.5,34.8,57238
11:47:24,92.71,34.74,91.6,34.6,99.5,34.8,57238
11:47:25,92.76,34.74,91.6,34.6,99.5,34.9,57244
11:47:26,92.79,34.75,91.7,34.6,99.6,34.9,57241
11:47:27,92.79,34.75,91.7,34.6,99.7,34.9,57238
11:47:28,92.8,34.75,91.8,34.6,99.8,34.9,57237
11:47:29,92.84,34.75,91.8,34.6,99.8,34.9,57237
11:47:30,92.88,34.75,91.8,34.6,99.8,34.9,57235
11:47:31,92.87,34.76,91.8,34.6,99.9,35,57233
11:47:32,92.89,34.76,91.8,34.6,99.9,35,57236
11:47:33,92.9,34.76,91.9,34.6,99.9,35,57239
11:47:34,92.91,34.76,91.9,34.7,100,35,57235
11:47:35,92.91,34.76,91.9,34.7,100,35,57235
11:47:36,92.94,34.77,91.9,34.7,100,35,57234
11:47:37,92.93,34.77,91.9,34.7,100,35,57241
11:47:38,92.95,34.77,91.9,34.7,100,35,57243
11:47:39,92.97,34.77,92,34.7,100,35,57246
11:47:40,92.93,34.77,92,34.7,100.1,35,57242
