Time,E+E Hum,E+E Temp,Vaisala Hum,Vaisala Temp,SGS Hum,SGS Temp,SGS RAW,SGS 2 Hum,SGS 2 Temp,SGS 2 RAW
11:06:01,67.03,22.86,,,,,,83.1,22.6,60028
11:06:02,67.01,22.86,,,,,,83.1,22.6,60029
11:06:03,67.01,22.86,,,,,,83.1,22.6,60029
11:06:04,67,22.86,,,,,,83.1,22.6,60028
11:06:05,67.01,22.86,,,,,,83.1,22.6,60030
11:06:06,67.03,22.86,,,,,,83.1,22.7,60029
11:06:07,67.03,22.86,,,,,,83.1,22.7,60028
11:06:08,67.03,22.86,,,,,,83.1,22.7,60029
11:06:09,67.04,22.86,,,,,,83.1,22.7,60029
11:06:10,67.04,22.86,,,,,,83.1,22.7,60029
11:06:11,67.02,22.87,,,,,,83.1,22.7,60028
11:06:12,66.99,22.87,,,,,,83.1,22.7,60028
11:06:13,66.99,22.87,,,,,,83.1,22.7,60027
11:06:14,67.01,22.87,,,,,,83.1,22.7,60028
11:06:15,67.02,22.87,,,,,,83.1,22.7,60027
11:06:16,67.02,22.86,,,,,,83.1,22.7,60029
11:06:17,66.99,22.86,,,,,,83.1,22.7,60028
11:06:18,66.97,22.86,,,,,,83.1,22.7,60028
11:06:19,66.97,22.86,,,,,,83.1,22.7,60028
11:06:20,66.98,22.87,,,,,,83.1,22.8,60027
11:06:21,67,22.87,,,,,,83.1,22.8,60028
11:06:22,67,22.89,,,,,,83.1,22.8,60029
11:06:23,67,22.89,,,,,,83.1,22.7,60029
11:06:24,66.99,22.88,,,,,,83.1,22.7,60028
11:06:25,67,22.88,,,,,,83.1,22.8,60027
11:06:26,66.98,22.87,,,,,,83.1,22.8,60027
11:06:27,66.99,22.87,,,,,,83.1,22.8,60029
11:06:28,67,22.87,,,,,,83.1,22.8,60027
11:06:29,66.99,22.87,,,,,,83.1,22.8,60026
11:06:30,66.97,22.87,,,,,,83.1,22.8,60026
11:06:32,66.97,22.87,,,,,,83.1,22.8,60027
11:06:33,66.96,22.87,,,,,,83.1,22.8,60027
11:06:33,66.96,22.87,,,,,,83.1,22.8,60027
11:06:35,66.94,22.87,,,,,,83.1,22.8,60027
11:06:35,66.94,22.87,,,,,,83.1,22.8,60028
11:06:37,66.96,22.88,,,,,,83.1,22.8,60027
11:06:37,66.96,22.88,,,,,,83.1,22.8,60027
11:06:38,66.96,22.88,,,,,,83.1,22.8,60026
11:06:40,66.94,22.86,,,,,,83.1,22.8,60027
11:06:40,66.94,22.86,,,,,,83.1,22.8,60027
11:06:41,66.93,22.87,,,,,,83.1,22.8,60026
11:06:42,66.93,22.87,,,,,,83.1,22.8,60027
11:06:43,66.94,22.87,,,,,,83.1,22.8,60027
11:06:44,66.96,22.87,,,,,,83.1,22.8,60025
11:06:45,66.98,22.87,,,,,,83.1,22.8,60025
