Time,Vaisala Hum,Vaisala Temp,SGS Hum,SGS Temp,SGS Raw
16:02:28,57.4,28.6,0.5,NaN,483630
16:02:29,57.8,28.6,53.5,30.5,483430
16:02:30,57.8,28.6,54,30.5,483278
16:02:31,58.1,28.6,54.5,30.4,483069
16:02:32,58.9,28.5,55,30.4,482929
16:02:33,59.2,28.5,55.5,30.4,482697
16:02:34,59.5,28.5,56,30.3,482467
16:02:35,59.8,28.5,56.4,30.3,482281
16:02:36,59.8,28.5,56.9,30.3,482087
16:02:37,60.1,28.5,57.4,30.2,481900
16:02:38,60.6,28.4,57.8,30.2,481705
16:02:39,60.6,28.4,58.3,30.2,481523
16:02:40,61.3,28.4,58.8,30.1,481430
16:02:41,61.6,28.4,59.2,30.1,481289
16:02:42,62,28.4,59.7,30.1,481143
16:02:43,62,28.4,60.1,30,480922
16:02:44,62.2,28.3,60.6,30,480783
16:02:45,62.3,28.3,61,29.9,480749
16:02:46,62.8,28.3,61.4,29.9,480710
16:02:47,63.1,28.3,61.8,29.9,480503
16:02:48,63.1,28.3,62.1,29.8,480340
16:02:49,63.7,28.2,62.5,29.8,480163
16:02:50,63.7,28.2,62.9,29.8,480057
16:02:51,63.9,28.2,63.2,29.7,479982
16:02:52,64.2,28.2,63.5,29.7,479991
16:02:53,64.2,28.2,63.8,29.7,479871
16:02:54,64.8,28.1,64.1,29.6,479791
16:02:55,64.9,28.1,64.4,29.6,479788
16:02:56,65,28.1,64.6,29.6,479821
16:02:57,65.1,28.1,64.9,29.5,479838
16:02:58,65.1,28.1,65,29.5,479866
16:02:59,65.2,28,65.2,29.4,479985
16:03:00,65.3,28,65.3,29.4,480076
16:03:01,65.3,28,65.4,29.4,480206
16:03:02,65.2,28,65.4,29.4,480340
16:03:03,65,27.9,65.4,29.3,480514
16:03:04,65,27.9,65.3,29.3,480702
16:03:05,64.5,27.9,65.1,29.2,480930
16:03:06,63.7,27.8,64.9,29.2,481199
16:03:07,63.7,27.8,64.7,29.2,481480
16:03:08,62.9,27.8,64.4,29.1,481774
16:03:09,62.9,27.8,64,29.1,482065
16:03:10,61,27.7,63.6,29,482388
16:03:11,60,27.7,63.1,29,482701
16:03:12,60,27.7,62.6,29,483002
16:03:13,59.1,27.7,62,28.9,483339
16:03:14,57.6,27.7,61.4,28.9,483661
16:03:15,57.6,27.7,60.8,28.9,483958
16:03:16,54.6,27.6,60.1,28.8,484270
16:03:17,54.6,27.6,59.4,28.8,484577
16:03:18,53.7,27.6,58.7,28.7,484914
16:03:19,52.3,27.5,57.9,28.7,485212
16:03:20,50.5,27.5,57.2,28.7,485490
16:03:21,49.6,27.5,56.5,28.6,485777
16:03:22,49.6,27.5,55.7,28.6,486016
16:03:23,48.3,27.4,55,28.5,486255
16:03:24,48.3,27.4,54.3,28.5,486447
16:03:25,46.9,27.4,53.6,28.5,486622
16:03:26,45.8,27.4,53,28.4,486759
16:03:27,45.8,27.4,52.3,28.4,486923
16:03:28,44.7,27.3,51.7,28.4,487040
16:03:29,44.7,27.3,51.2,28.3,487108
16:03:30,43.5,27.3,50.7,28.3,487174
16:03:31,43.1,27.2,50.2,28.2,487235
16:03:32,42.8,27.2,49.8,28.2,487303
16:03:33,42.2,27.2,49.4,28.1,487387
16:03:34,42,27.1,49,28.1,487478
16:03:35,42,27.1,48.7,28,487553
16:03:36,41.5,27.1,48.4,28,487610
16:03:37,41.3,27.1,48.1,28,487679
16:03:38,41.1,27,47.9,27.9,487710
16:03:39,41,27,47.7,27.9,487785
16:03:40,40.8,27,47.5,27.8,487861
16:03:41,40.7,27,47.3,27.8,487926
16:03:42,40.5,26.9,47.1,27.8,487967
16:03:43,40.4,26.9,47,27.7,488033
16:03:44,40.2,26.9,46.8,27.7,488121
16:03:45,40.1,26.9,46.7,27.6,488202
16:03:46,40.1,26.9,46.5,27.6,488257
16:03:47,39.8,26.8,46.3,27.6,488326
16:03:48,39.7,26.8,46.2,27.5,488392
16:03:49,39.4,26.7,46,27.5,488451
16:03:50,39.2,26.7,45.9,27.4,488542
16:03:51,38.9,26.7,45.7,27.4,488613
16:03:52,38.9,26.7,45.6,27.3,488650
16:03:53,38.8,26.7,45.4,27.3,488707
16:03:54,38.7,26.6,45.2,27.3,488742
16:03:55,38.5,26.6,45.1,27.2,488853
