Time,IST Cap (pF),Vaisala Cap(pF),New IST Cap (pF),E+E Humidity,E+E Cap (pF)
16:41:01,NaN,NaN,NaN,53.4,Infinity
16:41:03,NaN,NaN,NaN,52.4,NaN
16:41:03,Infinity,Infinity,Infinity,52.4,Infinity
16:41:04,187.7599930842745,247.4081514201406,169.98150274552455,52,232.5911894811937
16:41:05,187.69765880066615,247.14946916384346,169.56801585417307,51.99,231.57271514950858
16:41:06,187.83760710337023,246.88349162899542,169.45379200538335,52.11,230.65601674572235
16:41:07,187.75643846020466,246.6682623114542,169.91187363588548,51.87,231.31002099612374
16:41:08,Infinity,Infinity,Infinity,51.67,Infinity
16:41:09,Infinity,Infinity,Infinity,52.26,Infinity
16:41:10,Infinity,Infinity,Infinity,52.32,Infinity
16:41:11,Infinity,Infinity,Infinity,52.63,Infinity
16:41:12,Infinity,Infinity,Infinity,52.58,Infinity
16:41:13,Infinity,Infinity,Infinity,51.51,Infinity
16:41:14,Infinity,Infinity,Infinity,50.42,Infinity
16:41:15,Infinity,Infinity,Infinity,49.25,Infinity
16:41:16,Infinity,Infinity,Infinity,48.26,Infinity
16:41:17,Infinity,Infinity,Infinity,47.57,Infinity
16:41:18,Infinity,Infinity,Infinity,47.02,Infinity
16:41:19,Infinity,Infinity,Infinity,46.56,Infinity
16:41:20,Infinity,Infinity,Infinity,46.21,Infinity
16:41:21,Infinity,Infinity,Infinity,45.74,Infinity
16:41:22,Infinity,Infinity,Infinity,45.35,Infinity
16:41:23,Infinity,Infinity,Infinity,45.15,Infinity
16:41:24,Infinity,Infinity,Infinity,44.99,Infinity
16:41:25,Infinity,Infinity,Infinity,45.03,Infinity
16:41:26,Infinity,Infinity,Infinity,45.13,Infinity
16:41:27,Infinity,Infinity,Infinity,45.36,Infinity
16:41:28,Infinity,Infinity,Infinity,45.51,Infinity
16:41:29,Infinity,Infinity,Infinity,45.46,Infinity
16:41:30,Infinity,Infinity,Infinity,45.39,Infinity
16:41:31,Infinity,Infinity,Infinity,45.64,Infinity
16:41:32,Infinity,Infinity,Infinity,45.87,Infinity
16:41:33,Infinity,Infinity,Infinity,46.15,Infinity
16:41:34,Infinity,Infinity,Infinity,46.18,Infinity
16:41:35,Infinity,Infinity,Infinity,46.56,Infinity
16:41:36,Infinity,Infinity,Infinity,47.04,Infinity
16:41:37,Infinity,Infinity,Infinity,47.13,Infinity
16:41:38,Infinity,Infinity,Infinity,47.74,Infinity
16:41:39,Infinity,Infinity,Infinity,48.02,Infinity
16:41:40,Infinity,Infinity,Infinity,48.08,Infinity
16:41:41,Infinity,Infinity,Infinity,47.84,Infinity
16:41:42,Infinity,Infinity,Infinity,47.59,Infinity
16:41:43,Infinity,Infinity,Infinity,47.94,Infinity
16:41:44,Infinity,Infinity,Infinity,48.04,Infinity
16:41:45,Infinity,Infinity,Infinity,48.3,Infinity
16:41:46,Infinity,Infinity,Infinity,48.62,Infinity
16:41:47,Infinity,Infinity,Infinity,48.45,Infinity
16:41:48,Infinity,Infinity,Infinity,48.37,Infinity
16:41:49,Infinity,Infinity,Infinity,48.43,Infinity
16:41:50,Infinity,Infinity,Infinity,48.31,Infinity
16:41:51,Infinity,Infinity,Infinity,47.58,Infinity
16:41:52,Infinity,Infinity,Infinity,47.7,Infinity
16:41:53,Infinity,Infinity,Infinity,47.48,Infinity
16:41:54,Infinity,Infinity,Infinity,46.97,Infinity
16:41:55,Infinity,Infinity,Infinity,46.34,Infinity
16:41:56,Infinity,Infinity,Infinity,45.8,Infinity
16:41:57,Infinity,Infinity,Infinity,45.35,Infinity
16:41:59,Infinity,Infinity,Infinity,44.85,Infinity
16:42:00,Infinity,Infinity,Infinity,44.43,Infinity
16:42:00,Infinity,Infinity,Infinity,44.1,Infinity
16:42:01,Infinity,Infinity,Infinity,44.16,Infinity
16:42:03,Infinity,Infinity,Infinity,44.24,Infinity
